node_id;label;entity_id
300;Оролцогч;Inner Mongolia Tiantong Shiyun Import and Export Trade Co., Ltd ХК
301;Оролцогч;Inner Mongolia Wisecess Trade Co Ltd ХХК
302;Оролцогч;Inner Mongolia Xinwanye Railway Materials Co Ltd ХХК
303;Оролцогч;Inner Mongolia Yong Li Da import & export trading ХХК
304;ҮйлАжиллагааныЧиглэл;Гадаад худалдаа: барилгын материал
305;Оролцогч;Innermongolia menghua chemical Co.,Ltd ХХК
306;Оролцогч;Iraeta (Shandong) Grinding Material Co., Ltd. ХХК
307;Оролцогч;JIANGSU YUANFANG DWELL EQUIPMENT TECHNOLY CO.,LTD. ХХК
308;Оролцогч;JIDONG DEVELOPMENMIN (HK)TERNATIONAL LIMITED ХК
309;Оролцогч;JINAN HOUDE ABRASION RESISTANT MATERIALS CO., LTD ХХК
310;Оролцогч;JINING DEKAI MACHINERY Co ltd ХХК
311;Оролцогч;JINING RUITIE ELECTROMECHANICAL EQUIPMENT Co., Ltd ХХК
312;ҮйлАжиллагааныЧиглэл;Цахилгааны кабелийн худалдаа
313;Оролцогч;JINNAN DAMING NEW MATERAL TECHNOLOGY CO .,LTD ХХК
314;Оролцогч;JSC FTF Transmashexport ХК
315;ҮйлАжиллагааныЧиглэл;Бөөний худалдаа
316;Оролцогч;JSC RZD Traiding House ХК
317;Оролцогч;Jiangsu Jialong Engineering Construction Co.Ltd ХХК
318;ҮйлАжиллагааныЧиглэл;Б.Мөнхөө, А.Цэндсүрэн нар элсэн орж дүрмийн сан 300000 т-өөр нэмэгдсэн
319;Оролцогч;Jiangsu Yawei Transformer CO.,LTD, ХХК
320;ҮйлАжиллагааныЧиглэл;0.4-220 кВ-ын болон түүнээс дээш цахилгаан дамжуулах шугам, дэд станцын засвар, угсралт,түүний туршилт тохируулга, дагалдах ажил үйлчилгээ
321;Оролцогч;Jiangsu thexu huaya gas co ltd ХХК
322;ҮйлАжиллагааныЧиглэл;Химийн бодис импорлох,худалдаалах
323;Оролцогч;Jiaxing Bove Intelligent Technology Co.,Ltd ХХК
324;ҮйлАжиллагааныЧиглэл;Дулааны хэмжүүр,автоматикийн засвар үйлчилгээ
325;Оролцогч;JieGang Technology Co.,Ltd ХХК
